AURA	1
Achọrọ	1
Agbaghara	-2
Ajọ Onye	-2
Akpata oyi wụrụ	-2
Angers	-3
Anụọhịa	-5
Apụtara	-1
Ara	2
Asua	-1
Atụghị egwu	2
Biko	1
Chaị	4
Chei	-4
Cleaner	2
Disliked	-2
Egwu jidere	-3
Ekele	2
Ekwughị	2
Emegbula ya emegbu	-3
Emewo ka ihere	-2
Enwe nne enwe nna	-5
Enwee Mmeri	4
Enyemaka	2
ErrorWithTranslation	2
Esogbula	-3
Evergreen	2
Ewoo	-1
Ezuru	-2
Foreclosures	-2
Ghọgbuo Gị	-2
Halleluyah	3
Harms	-2
Iche	-2
Ihe	1
Ihe egwu	-2
Ihe pụtara ìhè	2
Ike	-4
Ileghara	-2
Indicted	-2
Iweghachi	1
Iwu	-2
Iyigharị	-1
Ji	2
Jiri nkwanye	2
Jizọs	1
Kpaa Ike Dị Egwu	-2
Kpọrọ Asị	-3
Kudos	3
Kwụ ọtọ	1
Kwụsị	-1
Mezuo	2
Milton	-2
Moody	-1
Na dị ka	-2
Narcissism	-2
Ndị aghụghọ	-3
Ndụ Ọjọọ	-2
Nje	-2
Njem Ihe Egwu	2
Njikota Obodo	1
Njụta Okwukwe	-2
Nkewapụ	-2
Nkịtị	-2
Nwa Anụọhịa	-5
Nwere Obi Ike	2
Obi abụọ	-1
Obi ebere	2
Obi gbawara	-2
Obi Ụtọ	3
Ohere	2
Olileanya	2
Onye iberibe	-4
Oops	-2
Otara	-2
Philanthropy	2
Rome	-2
Udo na	-2
Ujo	-2
Victor	3
Weenụ iwe	-3
Were ya iwe	-4
a ma ama	2
a naegbu	-2
a tụrụ mkpọrọ	-2
aba mba	-2
abaghị uru	-2
abductions	-2
abiatibet	-2
aborted	-1
aborts	-1
absentees	-1
absolves	2
absolving	2
abuses	-3
abọ ọbọ	-2
abụchaghị eziokwu	-2
abụghị eziokwu	-2
abụghị mma	-2
abụrụ	-2
abụrụ ọnụ	-4
acclaimed	2
accolade	2
achia ochi	1
achị ọchị	1
achọ	2
achọ inwere	1
achọghị	-2
achọghị ka	-2
achọghị ịrụ ọrụ	-2
achọghị ọdịmma onwe	2
achọsi ike	2
achụpụ	-2
acquitting	2
acrimonious	-3
ada	-2
ada ada	-1
adabaghi	-2
adabako	2
adabara	2
adachi	-2
adahade	1
adakpọ adakpọ	-2
adakọ	-2
adighi ike	-2
adopts	1
adored	3
adores	3
adoring	3
adoringly	3
advanced	1
advantageously	2
adventurous	2
adị bụ nzuzu	-2
adị mfe ịghọgbu	-2
adị njọ	-2
adịgboroja	-2
adịghị	-2
adịghị amasị ha	-2
adịghị amasị ndị	-2
adịghị amị mkpụrụ bụ	-2
adịghị anabata	-2
adịghị anakwere	-2
adịghị anwụ anwụ	2
adịghị arụ ọrụ	-3
adịghị atọ	-2
adịghị atụ ụjọ	2
adịghị atụkwasị	-3
adịghị enwe afọ ojuju	-2
adịghị ike	-2
adịghị mkpa	-2
adịghị mma	-2
adịghị ndụ	-1
adịghị ya mma	-2
adịkwa	-3
adọ aka ná ntị	-2
adọkpụrụkwa	-1
adọpụ	-2
adọrọ	2
adọrọ adọrọ	3
adọrọ mmasị	2
adọta	1
adọta mmasị	3
adọwa	-2
adụ Ndị	-2
adụ ha ọdụ	-2
affectionateness	3
affronted	-1
afia	-1
aficionados	2
afọ ntachi	-2
afọ ojuju	2
afọ ịta mmiri	-2
afụ ụfụ	-2
aga ibibi	-2
aga nke ọma	3
agaa kụọ	-1
agaghị echefu echefu	1
agahie	-3
agakwuru Kraist	2
agamevu	-2
agaziri	3
agba	1
agba ha ume	2
agba ume	2
agba ọchịchị mgba okpuru	-2
agbachitere	2
agbaghara	1
agbagharakwa	2
agbagwoju anya	-2
agbagọ	-2
agbam ume	1
agbamume	2
agbarụ agbarụ	-2
agbawa	-2
agbawa obi	-2
agbazee	-2
agbọghọbịa	3
aggressions	-2
agha	-2
aghara	-3
aghariigha	-2
aghughọ	-3
aghọ aghụghọ	-3
aghọ aghụghọ ule	-3
aghọgbu	-3
aghọta	2
aghọtaghị Isi	-3
aghọtahie	-1
aghụghọ	-2
agog	2
agonises	-3
agonize	-3
agonized	-3
agonizes	-3
agugo	-2
aguu ulo	-2
agwụ	-2
agwụ ike	-3
agọ	-2
agọnahụ	-2
agụsi	1
agụụ	-2
agụụ naagụgbu	-2
aha ọjọọ	-2
ahaghị	-1
ahapụ	-2
ahazighị ahazi	-2
ahuhu	-2
ahịhịa ogwu	-2
ahịrịokwu	-2
ahọ	-2
ahụhụ	-4
aja	2
ajo	-2
ajọ	-2
ajụ	-1
ajụ ajụjụ	-1
ajụjụ	-1
ajụjụ ọnụ	-2
aka	1
aka ike	-2
aka ntagide	-2
akaebe	2
akagbu	-1
akaja	-2
akakan	4
akatọ	-2
akawanye njọ	-3
akpa	2
akpa ókè	-2
akpa ókè agbụrụ	-3
akpa ọchị	3
akpachapụghị anya	-2
akpagbu	-2
akpaghasị	-2
akpali	2
akpali akpali	2
akpali iche	-1
akpali iche echiche	1
akpali mmasị	3
akpali ịhụnanya	3
akpalite	-1
akpaliwo mmasị	3
akpan owo	2
akparị	-2
akpasu	-1
akpasu iwe	-2
akpasu iwe,	-2
akpatara	-2
akpatara onwe	-2
akpịrị	-1
akpọ isiala nye	3
akpọrọ ihe	-2
akpụ	-2
akpụga	-2
akpụkpọ	-1
akwa	1
akwa emo	-2
akwa ákwá	-2
akwa ụta	-2
akwaa	1
akwada	-2
akwado	2
akwado ụdị	2
akwakọrọ	-2
akwalite	1
akwanyere	2
akwanyere ùgwù	2
akwara	-1
akwusila	-2
akwụghachi ụgwọ	2
akwụkwọ	2
akwụna	-4
akwụsị	-1
akọ	-1
akọ eme	2
akọrọ	1
akụ	2
akụ aka	2
akụ na ụba	3
akụda	-2
akụda mmụọ	-2
akụjụ	3
akụkọ ifo	-1
ala	2
ala azụ	-2
alarmist	-2
alarmists	-2
altruistic	2
alụ	-2
alụso	-1
ama	1
ama esịn	-1
ama etebe	2
ama jijiji	-2
amachibido	-2
amaghi	-2
amaghị	-2
amaghị atụmatụ	-2
amaghị mma	-2
