Angers	-3
Avengers	-2
Badass	-3
Bastards	-5
Bravura	3
Bãi bỏ	-2
Bảo hành	1
Bất chấp	-2
Bị quấy rầy	-3
Bị sa thải	-2
Bỏ bê	-2
Châu báu	2
Chúc mừng em	2
Chúc phúc	2
Chấp nhận	1
Chết tiệt	-4
Clears	1
Cương	1
Cướp	-2
Cản trở	-2
Cứu giúp	2
Debonair	2
Delights	3
Downer	-2
Dũng cảm	2
ErrorUndefined	-3
Giới Hạn	-2
Greets	1
Gây sát	-2
Hiếu chiến	-2
Hiếu kỳ	1
Hostile	-2
Hoài nghi	-2
Hân hoan	3
Hôi	-3
Hưng phấn	3
Hồi sinh	2
Hữu ích	2
Innovates	1
Không	-1
Không hiểu	-2
Không thích	-2
Không thể tin được	-1
Không trung thực	-2
Không vui	-2
Kinh ngạc	4
Kích thích	1
Kẻ lừa đảo	-4
Làm suy yếu	-2
Lòng tin	1
Lời chào	1
Man rợ	-2
Minh oan	2
Nghi ngờ	-1
Nhược điểm	-2
OKS	2
Phù hợp	1
Quyên góp	2
Quảng bá	1
Sự công bằng	2
Sự phẫn nộ	-3
Tai nạn	-2
Thoải mái	2
Thất bại	-2
Thịnh vượng	3
Trang nghiêm	-1
Trao giải thưởng	3
Trao quyền	2
Trung thành	3
Trân trọng	2
Tyran	-3
Tù nhân	-2
Tặng	2
Tổng	-2
Từ chối	-2
Vâng	1
Vô gia cư	-2
Vượt	-2
Xin chúc mừng	2
Xuất sắc	3
Yêu	3
Yếu	-2
Zealot	-2
acquits	2
acquitting	2
affectionateness	3
agonises	-3
agonizes	-3
an toàn	1
an toàn hơn	2
an ủi	2
anh dũng	3
anh hùng	3
ao ước	2
apeshit	-3
appeases	2
arsehole	-4
ashame	-2
assfucking	-4
astounds	3
bamboozles	-2
ban cho	1
ban phước	2
ban sức mạnh	2
bankster	-3
befitting	2
bereaves	-2
bereaving	-2
bi ai	-2
bi kịch	-2
bi quan	-2
bi thảm	-2
bia đen	2
binh vực	2
biến dạng	-2
biến hình	-2
biến mất	-1
biết ơn	2
blackmails	-3
blah	-2
